deer_id,mae_interpolation,mae_csdi,num_eval_points,crps,mae_interpolation_total,mae_csdi_total,mae_total_diff
5004,91.334506,80.320699,1122,2.8e-05,102477.315732,90119.824278,12357.491454000003
5094,150.620952,111.796399,1266,3.8e-05,190686.125232,141534.24113399998,49151.88409800001
5096,155.156652,132.637897,1238,4.5e-05,192083.935176,164205.71648600002,27878.21868999998
5143,122.639156,109.544789,1612,3.7e-05,197694.319472,176586.199868,21108.119604000007
5171,77.18964,82.158499,144,2.8e-05,11115.30816,11830.823856,-715.5156960000004
5181,167.404149,127.131355,690,4.3e-05,115508.86280999999,87720.63494999999,27788.22786
5183,309.261052,378.269026,28,0.000121,8659.309456,10591.532728,-1932.2232719999993
5189,191.845393,320.479073,978,0.000115,187624.794354,313428.533394,-125803.73904000001
5209,110.97844,95.031112,576,3.2e-05,63923.58144,54737.920512,9185.660928000005
5221,148.502984,140.543016,172,4.9e-05,25542.513248,24173.398751999997,1369.114496000002
5225,159.065304,133.615321,56,4.5e-05,8907.657024,7482.457976,1425.1990480000004
5239,170.199018,134.428765,1612,4.7e-05,274360.817016,216699.16918,57661.64783599999
5281,197.06916,141.516093,690,4.9e-05,135977.72040000002,97646.10417,38331.616230000014
5540,116.233882,104.725333,1208,3.5e-05,140410.529456,126508.202264,13902.327191999982
5577,145.108251,118.697707,374,4e-05,54270.485874,44392.942418,9877.543456
5583,161.550192,153.545544,1382,5.4e-05,223262.36534400002,212199.941808,11062.423536000017
5659,255.465838,242.881666,144,7.9e-05,36787.080672,34974.959904,1812.1207679999934
5671,162.892453,156.197778,144,5.4e-05,23456.513231999998,22492.480032,964.033199999998
5675,60.355499,141.636745,28,3.5e-05,1689.953972,3965.8288599999996,-2275.8748879999994
5740,138.682713,114.362399,1352,3.9e-05,187499.027976,154617.963448,32881.06452800002
5867,88.520431,88.056729,288,3.1e-05,25493.884128,25360.337952,133.54617599999983
5880,117.778348,103.693056,1440,3.6e-05,169600.82111999998,149318.00063999998,20282.820479999995
5975,158.112459,134.592733,1064,4.5e-05,168231.656376,143206.667912,25024.988463999995
5979,86.885196,80.13533,1036,2.7e-05,90013.063056,83020.20188,6992.861176000006
6010,161.226493,129.738696,1612,4.4e-05,259897.106716,209138.777952,50758.328764000005
6015,58.918663,57.488242,488,2e-05,28752.307544,28054.262096,698.0454480000008
6073,120.310529,104.337697,1382,3.6e-05,166269.151078,144194.697254,22074.453823999997
6536,138.886832,120.384897,2016,4.1e-05,279995.853312,242695.952352,37299.90096
6540,147.908389,133.644252,518,4.5e-05,76616.545502,69227.722536,7388.822965999992
6544,147.634196,137.621068,172,4.7e-05,25393.081712,23670.823696000003,1722.2580159999961
6546,164.473172,147.044317,2332,5e-05,383551.437104,342907.347244,40644.08986000001
6582,127.992835,89.514344,978,3e-05,125176.99263,87545.02843199999,37631.964198
6596,136.670018,118.193334,950,4e-05,129836.5171,112283.66729999999,17552.84980000001
6618,184.072442,167.620501,288,5.5e-05,53012.863295999996,48274.70428799999,4738.159008000002
6650,198.073764,184.298731,1468,6.4e-05,290772.28555200004,270550.537108,20221.748444000026
6726,132.647235,110.779683,748,3.7e-05,99220.13178,82863.202884,16356.928895999998
6758,186.569298,151.632105,892,5.1e-05,166419.813816,135255.83766,31163.97615600002
6762,115.503749,95.810135,576,3.3e-05,66530.159424,55186.63776,11343.521664
6788,171.503021,168.117195,288,6.8e-05,49392.870048,48417.752160000004,975.1178879999934
6794,138.108258,109.240611,1064,3.7e-05,146947.18651200001,116232.010104,30715.176408000014
